Created Date,Account Record Type,Membership Category,Membership Status,Member Type,Person Account: State/Province,Person Account: Country,Transaction Date,Total Payment,Unit Price,Order Id,Product: Product Name,Product: Record Type
2018-04-05,Individual,Individual,Expired,Individual Green Membership,Berlin,Germany,2017-12-11,0,0,Order 0159440,Professional,Membership
2016-04-22,Individual,Individual,Expired,Professional,TX,United States,2018-01-24,0,0,Order 0173613,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Bulgaria,2018-02-22,0,0,Order 0184738,Professional,Membership
2016-04-27,Individual,Individual,Current,Professional,"",Iceland,2018-03-02,0,0,Order 0188310,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",United Kingdom,2018-03-15,0,0,Order 0193332,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Spain,2018-03-15,0,0,Order 0193357,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Belgium,2018-03-15,0,0,Order 0193365,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Ireland,2018-03-15,0,0,Order 0193696,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Ireland,2018-03-15,0,0,Order 0193697,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Ireland,2018-03-15,0,0,Order 0193699,Professional,Membership
2018-03-15,Individual,Individual,Expired,Professional,"",Bulgaria,2018-03-15,0,0,Order 0193779,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,TX,United States,2018-03-16,0,0,Order 0194347,Professional,Membership
2018-03-15,Individual,Individual,Current,Professional,"",Cyprus,2018-03-16,0,0,Order 0194344,Professional,Membership
2018-03-16,Individual,Individual,Current,Professional,"",Germany,2018-03-16,0,0,Order 0194001,Professional,Membership
2018-03-16,Individual,Individual,Expired,Professional,"",United Kingdom,2018-03-16,0,0,Order 0194345,Professional,Membership
2018-03-16,Individual,Individual,Current,Professional,TX,United States,2018-03-16,0,0,Order 0194348,Professional,Membership
2018-03-16,Individual,Individual,Expired,Individual Green Membership,Zürich,Switzerland,2018-03-16,0,0,Order 0194352,Professional,Membership
2018-03-16,Individual,Individual,Expired,Professional,"",United Kingdom,2018-03-16,0,0,Order 0194353,Professional,Membership
2018-03-17,Individual,Individual,Expired,Professional,West Berkshire,United Kingdom,2018-03-19,0,0,Order 0194768,Professional,Membership
2018-03-19,Individual,Individual,Current,Professional,CA,United States,2018-03-19,0,0,Order 0194735,Professional,Membership
2018-03-19,Individual,Individual,Current,Professional,Modena,Italy,2018-03-19,0,0,Order 0194875,Professional,Membership
2018-03-18,Individual,Individual,Current,Professional,"",New Zealand,2018-03-20,0,0,Order 0195694,Professional,Membership
2018-03-20,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2018-03-20,0,0,Order 0195192,Professional,Membership
2018-03-20,Individual,Individual,Expired,Professional,CA,United States,2018-03-20,0,0,Order 0195195,Professional,Membership
2018-03-20,Individual,Individual,Expired,Professional,"",Portugal,2018-03-20,0,0,Order 0195466,Professional,Membership
2018-03-20,Individual,Individual,Current,Professional,"",Portugal,2018-03-20,0,0,Order 0195467,Professional,Membership
2018-03-20,Individual,Individual,Current,Professional,"",Portugal,2018-03-20,0,0,Order 0195468,Professional,Membership
2018-03-20,Individual,Individual,Current,Government,"",Kenya,2018-03-20,0,0,Order 0195697,Professional,Membership
2018-03-20,Individual,Individual,Expired,Professional,"",Greece,2018-03-20,0,0,Order 0195699,Professional,Membership
2018-03-21,Individual,Individual,Current,Professional,TX,United States,2018-03-20,0,0,Order 0195766,Professional,Membership
2016-04-12,Individual,Individual,Expired,Professional,"","",2016-04-12,0,0,Order 0034517,Professional,Membership
2016-03-07,Individual,Individual,Expired,Professional,MD,United States,2016-09-13,0,0,Order 0056285,Professional,Membership
2016-03-08,Individual,Individual,Expired,Professional,West Midlands,United Kingdom,2017-06-06,0,0,Order 0114519,Professional,Membership
2016-03-03,Individual,Individual,Current,Professional,FL,United States,2017-08-09,0,0,Order 0127509,Professional,Membership
2016-03-29,Individual,Individual,Current,Professional,VA,United States,2017-08-17,0,0,Order 0129041,Professional,Membership
2017-10-11,Individual,Individual,Current,Professional,"",Portugal,2017-10-02,0,0,Order 0144074,Professional,Membership
2017-10-10,Individual,Individual,Expired,Professional,"",United Kingdom,2017-10-10,0,0,Order 0143723,Professional,Membership
2016-04-04,Individual,Individual,Current,Professional,GA,United States,2017-10-11,0,0,Order 0144085,Not-For-Profit,Membership
2017-10-11,Individual,Individual,Expired,Professional,"",United Kingdom,2017-10-11,0,0,Order 0144076,Professional,Membership
2017-10-11,Individual,Individual,Current,Professional,"",Belgium,2017-10-11,0,0,Order 0144117,Professional,Membership
2017-10-11,Individual,Individual,Current,Professional,MI,United States,2017-10-11,0,0,Order 0144134,Professional,Membership
2017-10-11,Individual,Individual,Current,Professional,"",Finland,2017-10-13,0,0,Order 0144768,Professional,Membership
2017-10-13,Individual,Individual,Expired,Professional,"",Finland,2017-10-13,0,0,Order 0144774,Professional,Membership
2017-10-13,Individual,Individual,Expired,Professional,"",Finland,2017-10-13,0,0,Order 0144778,Professional,Membership
2017-10-13,Individual,Individual,Expired,Professional,"",Finland,2017-10-13,0,0,Order 0144780,Professional,Membership
2017-10-13,Individual,Individual,Expired,Professional,"",United Kingdom,2017-10-13,0,0,Order 0144791,Professional,Membership
2017-10-11,Individual,Individual,Expired,Professional,"",Ireland,2017-10-16,0,0,Order 0145094,Professional,Membership
2017-10-19,Individual,Individual,Expired,Professional,"",Portugal,2017-10-16,0,0,Order 0146006,Professional,Membership
2017-10-11,Individual,Individual,Expired,Professional,"",United Kingdom,2017-10-17,0,0,Order 0145675,Professional,Membership
2017-10-14,Individual,Individual,Expired,Professional,"",Belgium,2017-10-17,0,0,Order 0145657,Professional,Membership
2019-10-11,Individual,Individual,Current,Professional,"",Finland,2017-08-25,0,0,Order 0131256,Professional,Membership
2020-06-15,Individual,Individual,Grace,Professional,"",United Kingdom,2017-12-08,0,0,Order 0158969,Professional,Membership
2020-02-17,Individual,Individual,Expired,Professional,"",Netherlands,2018-09-28,0,0,Order 0256461,Professional,Membership
2020-04-06,Individual,Individual,Expired,Government,"",Netherlands,2019-02-22,0,0,Order 0312865,Professional,Membership
2019-09-05,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-05,0,0,Order 0392974,Professional,Membership
2019-09-05,Individual,Individual,Expired,Individual Green Membership,"",Finland,2019-09-05,0,0,Order 0393031,Professional,Membership
2019-09-06,Individual,Individual,Current,Professional,"",United Kingdom,2019-09-06,0,0,Order 0393420,Professional,Membership
2019-09-06,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-06,0,0,Order 0393443,Professional,Membership
2019-09-06,Individual,Individual,Current,Professional,"",United Kingdom,2019-09-06,0,0,Order 0393507,Professional,Membership
2019-09-06,Individual,Individual,Expired,Government,"",United Kingdom,2019-09-06,0,0,Order 0393511,Professional,Membership
2019-09-06,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-06,0,0,Order 0393522,Professional,Membership
2019-09-06,Individual,Individual,Current,Professional,"",Saudi Arabia,2019-09-06,0,0,Order 0393531,Professional,Membership
2019-09-06,Individual,Individual,Current,Not-For-Profit,Surrey,United Kingdom,2019-09-06,0,0,Order 0393556,Professional,Membership
2019-09-06,Individual,Individual,Current,Government,East Yorkshire,United Kingdom,2019-09-06,0,0,Order 0393562,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",United States,2019-09-09,0,0,Order 0394163,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",United States,2019-09-09,0,0,Order 0394173,Professional,Membership
2019-09-09,Individual,Individual,Expired,Professional,"",Netherlands,2019-09-09,0,0,Order 0394171,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Finland,2019-09-09,0,0,Order 0394199,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-09,0,0,Order 0394200,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-09,0,0,Order 0394206,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-09,0,0,Order 0394218,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-09,0,0,Order 0394221,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-09,0,0,Order 0394223,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,Victoria,Australia,2019-09-09,0,0,Order 0394244,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,Victoria,Australia,2019-09-09,0,0,Order 0394247,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,Victoria,Australia,2019-09-09,0,0,Order 0394253,Professional,Membership
2019-09-09,Individual,Individual,Expired,Professional,Victoria,Australia,2019-09-09,0,0,Order 0394256,Professional,Membership
2019-09-09,Individual,Individual,Current,Professional,Haryana,India,2019-09-09,0,0,Order 0394393,Professional,Membership
2019-09-10,Individual,Individual,Expired,Individual Green Membership,Maharashtra,India,2019-09-10,0,0,Order 0394922,Professional,Membership
2019-09-10,Individual,Individual,Current,Higher Education,FL,United States,2019-09-10,0,0,Order 0394931,Professional,Membership
2019-09-10,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-10,0,0,Order 0394947,Professional,Membership
2019-09-10,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-10,0,0,Order 0394950,Professional,Membership
2019-09-10,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-10,0,0,Order 0394955,Professional,Membership
2019-09-09,Individual,Individual,Expired,Individual Green Membership,"",United Arab Emirates,2019-09-18,0,0,Order 0398066,Professional,Membership
2019-09-20,Individual,Individual,Expired,Professional,FL,United States,2019-09-20,0,0,Order 0399672,Professional,Membership
2019-09-20,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-09-20,0,0,Order 0399802,Professional,Membership
2019-09-20,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-09-20,0,0,Order 0399813,Professional,Membership
2019-09-20,Individual,Individual,Expired,Individual Green Membership,"",New Zealand,2019-09-20,0,0,Order 0399818,Professional,Membership
2019-09-20,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-20,0,0,Order 0399824,Professional,Membership
2019-09-23,Individual,Individual,Expired,Individual Green Membership,"",New Zealand,2019-09-23,0,0,Order 0400883,Professional,Membership
2019-09-23,Individual,Individual,Expired,Temporary,Dublin,Ireland,2019-09-23,0,0,Order 0401011,Professional,Membership
2019-09-23,Individual,Individual,Current,Professional,Dublin,Ireland,2019-09-23,0,0,Order 0401016,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403866,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403890,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403893,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403897,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",Switzerland,2019-09-26,0,0,Order 0403898,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403903,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403906,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403914,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403919,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-09-26,0,0,Order 0403920,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",United Kingdom,2019-09-26,0,0,Order 0403924,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",United Kingdom,2019-09-26,0,0,Order 0403927,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",United Kingdom,2019-09-26,0,0,Order 0403928,Professional,Membership
2019-09-26,Individual,Individual,Expired,Professional,"",United Kingdom,2019-09-26,0,0,Order 0403930,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,West Midlands,United Kingdom,2019-09-26,0,0,Order 0403933,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403880,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403845,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403848,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403855,Professional,Membership
2019-09-26,Individual,Individual,Current,Government,"",Denmark,2019-09-26,0,0,Order 0403857,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403881,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403859,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-09-26,0,0,Order 0403871,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-26,0,0,Order 0403949,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-26,0,0,Order 0403951,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",Netherlands,2019-09-26,0,0,Order 0403954,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",Netherlands,2019-09-26,0,0,Order 0403957,Professional,Membership
2019-09-26,Individual,Individual,Current,Professional,"",Netherlands,2019-09-26,0,0,Order 0403961,Professional,Membership
2019-09-26,Individual,Individual,Current,Not-For-Profit,"",Netherlands,2019-09-26,0,0,Order 0403964,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-26,0,0,Order 0403966,Professional,Membership
2019-09-26,Individual,Individual,Current,Government,"",Netherlands,2019-09-26,0,0,Order 0403968,Professional,Membership
2019-09-26,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-09-26,0,0,Order 0403970,Professional,Membership
2019-09-26,Individual,Individual,Current,Government,"",Netherlands,2019-09-26,0,0,Order 0403972,Professional,Membership
2019-09-26,Individual,Individual,Current,Higher Education,"",Netherlands,2019-09-26,0,0,Order 0403975,Professional,Membership
2019-09-30,Individual,Individual,Expired,Professional,"",Germany,2019-09-30,0,0,Order 0405462,Professional,Membership
2019-10-01,Individual,Individual,Current,Higher Education,"",Denmark,2019-10-01,0,0,Order 0406346,Professional,Membership
2019-10-01,Individual,Individual,Current,Higher Education,"",Denmark,2019-10-01,0,0,Order 0406358,Professional,Membership
2019-10-01,Individual,Individual,Expired,Individual Green Membership,"",Denmark,2019-10-01,0,0,Order 0406363,Professional,Membership
2019-10-01,Individual,Individual,Expired,Individual Green Membership,NY,United States,2019-10-01,0,0,Order 0406366,Professional,Membership
2019-10-01,Individual,Individual,Expired,Individual Green Membership,NY,United States,2019-10-01,0,0,Order 0406369,Professional,Membership
2019-10-01,Individual,Individual,Expired,Individual Green Membership,NY,United States,2019-10-01,0,0,Order 0406373,Professional,Membership
2019-10-01,Individual,Individual,Expired,Individual Green Membership,CA,United States,2019-10-01,0,0,Order 0406375,Professional,Membership
2019-10-23,Individual,Individual,Expired,Government,Tasmania,Australia,2019-10-01,0,0,Order 0416535,Professional,Membership
2020-06-24,Individual,Individual,Expired,Professional,NC,United States,2019-10-01,0,0,Order 0406379,Professional,Membership
2019-10-02,Individual,Individual,Expired,Not-For-Profit,"",Netherlands,2019-10-02,0,0,Order 0406728,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Netherlands,2019-10-02,0,0,Order 0406731,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406820,Professional,Membership
2019-10-02,Individual,Individual,Expired,Government,"",Qatar,2019-10-02,0,0,Order 0406821,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406826,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406829,Professional,Membership
2019-10-02,Individual,Individual,Expired,Government,"",Qatar,2019-10-02,0,0,Order 0406834,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406836,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406837,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406839,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406848,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406850,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",Qatar,2019-10-02,0,0,Order 0406854,Professional,Membership
2019-10-02,Individual,Individual,Current,Professional,Hampshire,United Kingdom,2019-10-02,0,0,Order 0406900,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-10-02,0,0,Order 0406906,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-10-02,0,0,Order 0406934,Professional,Membership
2019-10-02,Individual,Individual,Current,Professional,Norfolk,United Kingdom,2019-10-02,0,0,Order 0406947,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,Surrey,United Kingdom,2019-10-02,0,0,Order 0406949,Professional,Membership
2019-10-02,Individual,Individual,Current,Professional,"",United Kingdom,2019-10-02,0,0,Order 0406955,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-10-02,0,0,Order 0406962,Professional,Membership
2019-10-02,Individual,Individual,Current,Not-For-Profit,"",United Kingdom,2019-10-02,0,0,Order 0406965,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,Hampshire,United Kingdom,2019-10-02,0,0,Order 0406973,Professional,Membership
2019-10-02,Individual,Individual,Current,Higher Education,Cambridgeshire,United Kingdom,2019-10-02,0,0,Order 0406984,Professional,Membership
2019-10-02,Individual,Individual,Current,Higher Education,Cambridgeshire,United Kingdom,2019-10-02,0,0,Order 0407023,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-10-02,0,0,Order 0407004,Professional,Membership
2019-10-02,Individual,Individual,Current,Professional,"",United Kingdom,2019-10-02,0,0,Order 0407010,Professional,Membership
2019-10-02,Individual,Individual,Expired,Individual Green Membership,Dublin,Ireland,2019-10-02,0,0,Order 0407022,Professional,Membership
2019-10-02,Individual,Individual,Current,Not-For-Profit,"",Netherlands,2019-10-02,0,0,Order 0407071,Professional,Membership
2019-10-02,Individual,Individual,Current,Professional,"",Netherlands,2019-10-02,0,0,Order 0407075,Professional,Membership
2019-10-03,Individual,Individual,Expired,Professional,"",United Arab Emirates,2019-10-03,0,0,Order 0407529,Professional,Membership
2019-10-03,Individual,Individual,Expired,Professional,"",United Arab Emirates,2019-10-03,0,0,Order 0407534,Professional,Membership
2019-09-30,Individual,Individual,Current,Higher Education,Rome,Italy,2019-10-04,0,0,Order 0407927,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407917,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407920,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407921,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407924,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407926,Professional,Membership
2019-10-04,Individual,Individual,Current,Professional,"",Italy,2019-10-04,0,0,Order 0407930,Professional,Membership
2019-10-04,Individual,Individual,Expired,Professional,"",Italy,2019-10-04,0,0,Order 0407932,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407934,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407936,Professional,Membership
2019-10-04,Individual,Individual,Current,Professional,"",Italy,2019-10-04,0,0,Order 0407938,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",Italy,2019-10-04,0,0,Order 0407940,Professional,Membership
2019-10-04,Individual,Individual,Current,Professional,"",Italy,2019-10-04,0,0,Order 0407941,Professional,Membership
2019-10-04,Individual,Individual,Current,Professional,"",Italy,2019-10-04,0,0,Order 0407943,Professional,Membership
2019-10-04,Individual,Individual,Expired,Individual Green Membership,"",United Kingdom,2019-10-04,0,0,Order 0407948,Professional,Membership
2019-09-06,Individual,Individual,Current,Professional,"",Singapore,2019-10-07,0,0,Order 0408741,Professional,Membership
2019-10-07,Individual,Individual,Current,Not-For-Profit,"",United Kingdom,2019-10-07,0,0,Order 0408573,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Sweden,2019-10-07,0,0,Order 0408598,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Sweden,2019-10-07,0,0,Order 0408602,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Czech Republic,2019-10-07,0,0,Order 0408604,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Sweden,2019-10-07,0,0,Order 0408606,Professional,Membership
2019-10-07,Individual,Individual,Expired,Government,"",Singapore,2019-10-07,0,0,Order 0408726,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408727,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408729,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408731,Professional,Membership
2019-10-07,Individual,Individual,Current,Retired,"",Singapore,2019-10-07,0,0,Order 0408733,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408735,Professional,Membership
2019-10-07,Individual,Individual,Current,Professional,"",Singapore,2019-10-07,0,0,Order 0408737,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Malaysia,2019-10-07,0,0,Order 0408738,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408742,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408744,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408748,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408751,Professional,Membership
2019-10-07,Individual,Individual,Expired,Not-For-Profit,"",Singapore,2019-10-07,0,0,Order 0408752,Professional,Membership
2019-10-07,Individual,Individual,Expired,Not-For-Profit,"",Singapore,2019-10-07,0,0,Order 0408755,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408756,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408759,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408760,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408761,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408766,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408769,Professional,Membership
2019-10-07,Individual,Individual,Current,Professional,"",Singapore,2019-10-07,0,0,Order 0408770,Professional,Membership
2019-10-07,Individual,Individual,Current,Professional,"",Singapore,2019-10-07,0,0,Order 0408772,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408773,Professional,Membership
2019-10-07,Individual,Individual,Current,Professional,"",Singapore,2019-10-07,0,0,Order 0408774,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408775,Professional,Membership
2019-10-07,Individual,Individual,Expired,Professional,"",Singapore,2019-10-07,0,0,Order 0408776,Professional,Membership
2019-10-07,Individual,Individual,Expired,Individual Green Membership,"",Singapore,2019-10-07,0,0,Order 0408780,Professional,Membership
